Ticker,Name,MarketCap,ChangesRatio,Market
442310,대신밸런스제14호스팩,166억,0.0,코스닥
008500,일정실업,155억,0.0,코스피
106520,노블엠앤비,151억,0.0,코스닥
217480,에스디생명공학,149억,0.0,코스닥
404950,DB금융스팩10호,124억,0.0,코스닥
377400,하이제6호스팩,123억,0.0,코스닥
448370,하나27호스팩,121억,0.0,코스닥
426550,IBKS제19호스팩,118억,0.0,코스닥
174880,장원테크,116억,0.0,코스닥
427950,하나금융23호스팩,114억,0.0,코스닥
436530,케이비제22호스팩,113억,0.0,코스닥
437780,엔에이치스팩24호,110억,0.0,코스닥
058220,아리온,107억,0.0,코스닥
004105,태양금속우,107억,1.41,코스피
08537M,루트로닉3우C,106억,29.94,코스닥
372290,하나머스트7호스팩,104억,0.0,코스닥
367360,DB금융스팩9호,103억,0.0,코스닥
121890,에스디시스템,94억,0.0,코스닥
450410,엔에이치스팩28호,87억,0.0,코스닥
373340,유진스팩6호,76억,0.0,코스닥
